不倫する,不倫する,不倫,affair,不倫相手,不倫,,,,FALSE,,,0
二股する,二股する,二股,second_crotch,二股相手,二股,,,,,,,0
仲良くなる,仲良くなる,仲良し,a_good_friend,仲の良い異性,仲良し,,,,,,,3
両思いになる,両思いになる,両思い,bothersome,両思いの彼女,両思い,,,,,,,3
W不倫する,W不倫する,W不倫,w_affair,W不倫相手,W不倫,,,,,,,0
ワンナイトラブする,ワンナイトラブする,ワンナイトラブ,one_night_love,ワンナイトラブの相手,ワンナイトラブ,,sf,,,,,1
昼間会う,昼間会う,昼間の密会,daytime,密会相手,昼間の密会,,,,,,,1
電話で話す,電話で話す,電話,phone,電話友達,電話,,,,,,,3
初体験する,初体験する,初体験,first_experience,初体験相手,初体験,,,,,,,1
NTRプレイする,NTRプレイする,NTRプレイ,ntr_play,NTR相手,NTRプレイ,,,,,,,1
初セックスする,初セックスする,初セックス,first_sex,初セックスの相手,初セックス,,,,,,,1
筆おろしする,筆おろしする,筆おろし,brush,筆おろし相手,筆おろし,m,,,,,,1
痴漢プレイする,痴漢プレイする,痴漢プレイ,pervert_play,痴漢パートナー,痴漢プレイ,m,,,,,,1
中出しする,中出しする,中出し,creampie,中出し相手,中出し,,,,,,,1
制服プレイする,制服プレイする,制服プレイ,uniform_play,制服プレイの相手,制服プレイ,,,,,,,1
媚薬セックスする,媚薬セックスする,媚薬セックス,glaze_sex,媚薬セックスの相手,媚薬セックス,,,,,,,1
射精管理してもらう,射精管理してもらう,射精管理,cumshot_management,射精管理者,射精管理,,,に,,,,1
ハメ撮りする,ハメ撮りする,ハメ撮り,goning,ハメ撮り相手,ハメ撮り,,,,,,,1
青姦する,青姦する,青カン,blue_can,青カン相手,青カン,,,,,,,1
素股する,素股する,素股,intercourse,素股してくれる女性,素股,m,,,,,,1
乱交する,乱交する,乱交,orgy,乱交パートナー,乱交,,,,,,,1
セクハラプレイする,セクハラプレイする,セクハラプレイ,sexual_harassment,セクハラ相手,セクハラプレイ,,,,,,,1
顔面騎乗してもらう,顔面騎乗してもらう,顔面騎乗,sitting_up,顔面騎乗女子,顔面騎乗,,,に,,,,1
パイズリしてもらう,パイズリしてもらう,パイズリ,paizuri,パイズリ巨乳女子,パイズリ,,,に,,,,1
カーセックスする,カーセックスする,カーセックス,car_sex,カーセックス好き,カーセックス,,,,,,,1
オフパコする,オフパコする,オフパコ,off-park,オフパコ好き,オフパコ,,,,,,,1
生パコする,生パコする,生パコ,paca,生パコ相手,生パコ,,,,,,,1
複数プレイする,複数プレイする,複数プレイ,multiple_play,複数プレイ相手,複数プレイ,,,,,,,1
痴漢ごっこする,痴漢ごっこする,痴漢プレイ,pervert_play2,痴漢パートナー,痴漢プレイ,,,,,,,1
オナニー鑑賞する,オナニー鑑賞する,オナニー鑑賞,masturbation_appreciation,オナニー好き,オナニー鑑賞,,,,,,,1
タダマンする,タダマンする,タダマン,tadaman,タダマンの相手,タダマン,,,,,,,1
宅飲みセックスする,宅飲みセックスする,宅飲みセックス,house_tort-free_sex,宅飲みセックスの相手,宅飲みセックス,,,,,,,1
3Pする,3Pする,3P,3p,3Pパートナー,3P,,,,,,,1
浮気する,浮気する,浮気,flirt,浮気相手,浮気,,,,,,,0
エロメールする,エロメールする,エロメール,ero_mail,エロメール相手,エロメール,,,,,,,1
チャットエッチする,チャットエッチする,チャットエッチ,chat_etch,チャエッチ相手,チャエッチ,,,,,,,1
メールエッチする,メールエッチする,メールエッチ,e-mail_etch,メールエッチ相手,メールエッチ,,,,,,,1
テレフォンセックスする,テレフォンセックスする,テレフォンセックス,telephone_sex,テレフォンセックス相手,テレフォンセックス,,,,,,,1
童貞を捨てる,童貞を捨てる,童貞卒業,graduation,童貞卒業させてくれる女性,童貞卒業,m,,,,,,1
エッチメールする,エッチメールする,エッチメール,etch_email,エッチメール相手,エッチメール,,,,,,,1
孕ませる,孕ませる,孕ませセックス,sex,孕ませセックス相手,孕ませセックス,m,,を,,,,1
SMプレイする,SMプレイする,SMプレイ,sm_play,SMパートナー,SMプレイ,,,,,,,1
飲み会する,飲み会する,飲み会,drinking_party,飲み仲間,飲み会,,,,,,,3
サシ呑みする,サシ呑みする,サシ呑み,drunk,サシ呑み相手,サシ呑み,,,,,,,3
キスする,キスする,キス,kiss,キス相手,キス,,,,,,,3
ペッティングする,ペッティングする,ペッティング,petting,ペッティング相手,ペッティング,,,,,,,1
指マンする,指マンする,指マン,finger_man,指マン好き,指マン,,,,,,,1
潮吹きさせる,潮吹きさせる,潮吹き,squirting,潮吹き女子,潮吹き,,,を,,,,1
玩具プレイする,玩具プレイする,玩具プレイ,toy_play,玩具好き,玩具プレイ,,,,,,,1
